"","Component","Model 2a","Model 2b","Model 3","Model 4","Model 5","MS","MS RE"
"1","Catch",-97.0184878412444,-97.556974723661,-97.5198417679129,-97.5213319717596,-97.5187274127632,-97.0373011526204,-95.0585900418965
"2","Fishery length",172.374492777701,168.884253460859,155.777385809007,155.672497694409,155.235530174497,120.680554661348,120.101046944456
"3","Survey",33.3524868251606,31.9361815091984,5.52951998315395,4.54584491226023,6.55565634288639,-2.73184964608477,-1.69746975160893
"4","Survey age",61.7949296528945,62.4468920825474,62.399898268002,81.3218064220653,82.9979973698344,76.7899644343736,78.5688816179781
"5","PENALTIES",NA,NA,NA,NA,NA,NA,NA
"6","Recruitment deviations",5.7493253091412,5.84446112429182,44.1948594671162,45.8378410545028,18.2515618645218,48.056518156664,28.3665862198751
"7","Slectivity",5.8936224141671,7.20302262002525,7.25059939168037,7.47234391825042,7.21657570497389,3.97812359937822,3.93838672565153
"8","F dev",21.4244954234562,20.0497503100182,19.9546709234714,19.7416176029524,21.2820758081587,21.5434473702919,23.6656125389626
"9","Joint nll",0,198.807586383279,197.587092074518,217.070619632681,194.020669852109,171.279457423351,157.884454253418
"10","Marginal nll",0,198.807586383279,197.587092074518,217.070619632681,216.845037225229,170.802605038803,174.154681628308
"11","N parm",1,158,158,158,92,160,94
"12","q",1,1,1,1,1,1,1
"13","Mean R",699549.495382476,698558.936577453,700544.640020538,686434.781088803,685346.510179628,2196742.12980129,2269077.54017003
"14","F40%",NA,NA,NA,NA,NA,NA,NA
"15","2023 Biomass",1330341.2219223,1330606.54568575,1333774.07111463,1324352.65237978,1335461.71478203,1677959.47236423,1713451.90003938
"16","2023 SSB",744001.398924963,747184.833507144,749152.315655056,748091.513205045,751909.831949797,564904.237074793,563643.637163138
"17","B0",1691111.15376666,1704710.5653368,1709541.10235538,1706863.76641569,1693609.58956044,2042461.90690234,2059719.64448019
"18","B40",676444.461506664,681884.22613472,683816.440942153,682745.506566276,677443.835824178,816984.762760935,823887.857792078
"19","SB0",988884.869806722,996684.663215387,999503.316460909,997781.333915103,990262.878908737,749489.440156875,742283.948128691
"20","SB40",395553.947922689,398673.865286155,399801.326584364,399112.533566041,396105.151563495,299795.77606275,296913.579251476
"21","ABC",NA,NA,NA,NA,NA,NA,NA
